Nr.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Test per 1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
115,Australia,"29,402",+6,909,,"26,356",+4,"2,137",,"1,143",35,"16,101,054","625,807","25,728,466",Australia/Oceania,875,"28,304",2
116,DRC,"28,542",,745,,"25,841",,"1,956",,311,8,"143,197","1,562","91,648,013",Africa,"3,211","123,017",640
117,Madagascar,"28,063",+515,500,+7,"23,878",+397,"3,685",246,994,18,"154,334","5,466","28,237,696",Africa,"1,006","56,475",183
118,Maldives,"25,617",+93,67,,"22,551",+122,"2,999",82,"46,757",122,"668,667","1,220,460","547,881",Asia,21,"8,177",1
119,Rwanda,"23,426",+83,315,+1,"21,243",+171,"1,868",6,"1,775",24,"1,220,068","92,437","13,198,879",Africa,563,"41,901",11
120,Angola,"23,331",,550,,"21,890",,891,13,693,16,"440,970","13,105","33,649,497",Africa,"1,442","61,181",76
121,Guinea,"20,949",+142,134,+1,"18,563",+90,"2,252",24,"1,563",10,"413,716","30,860","13,406,179",Africa,640,"100,046",32
122,Gabon,"20,636",,127,,"17,456",,"3,053",20,"9,106",56,"662,689","292,436","2,266,102",Africa,110,"17,843",3
123,Syria,"20,226",+108,"1,378",+10,"14,012",+117,"4,836",,"1,135",77,,,"17,827,337",Asia,881,"12,937",
124,Mayotte,"19,643",,167,,"2,964",,"16,512",7,"70,691",601,"162,430","584,548","277,873",Africa,14,"1,664",2
125,French Polynesia,"18,652",,141,,"4,842",,"13,669",2,"66,103",500,"26,355","93,403","282,165",Australia/Oceania,15,"2,001",11
126,Cabo Verde,"18,629",,177,,"17,077",,"1,375",23,"33,227",316,"136,106","242,763","560,654",Africa,30,"3,168",4
127,Mauritania,"18,012",,450,,"17,322",,240,14,"3,797",95,"214,857","45,295","4,743,489",Africa,263,"10,541",22
128,French Guiana,"17,549",,94,,"9,995",,"7,460",9,"57,608",309,"169,271","555,666","304,627",South America,17,"3,241",2
129,Réunion,"17,508",,123,,"16,011",,"1,374",54,"19,448",137,"100,098","111,188","900,257",Africa,51,"7,319",9
130,Eswatini,"17,373",,669,,"16,645",,59,3,"14,856",572,"173,142","148,054","1,169,449",Africa,67,"1,748",7
131,Mongolia,"15,014",+831,22,+2,"9,159",+284,"5,833",88,"4,524",7,"2,446,241","737,041","3,319,001",Asia,221,"150,864",1
132,Tajikistan,"13,308",,90,,"13,218",,0,,"1,372",9,,,"9,702,390",Asia,729,"107,804",
133,Burkina Faso,"12,956",,152,,"12,593",,211,,607,7,"175,176","8,208","21,343,110",Africa,"1,647","140,415",122
134,Haiti,"12,840",,251,,"11,447",,"1,142",,"1,116",22,"54,379","4,725","11,509,894",North America,896,"45,856",212
135,Andorra,"12,545",+48,120,,"11,825",+55,600,12,"162,162","1,551","193,595","2,502,488","77,361",Europe,6,645,0
136,Belize,"12,485",,318,,"12,106",,61,1,"30,966",789,"103,373","256,388","403,190",North America,32,"1,268",4
137,Somalia,"12,271",,605,,"5,129",,"6,537",,756,37,"98,053","6,040","16,233,401",Africa,"1,323","26,832",166
138,Guadeloupe,"12,140",,174,,"2,242",,"9,724",13,"30,337",435,"159,029","397,397","400,177",North America,33,"2,300",3
139,Togo,"12,006",+59,116,,"9,274",+84,"2,616",,"1,425",14,"291,705","34,612","8,427,876",Africa,702,"72,654",29
140,Mali,"11,705",,405,,"7,101",,"4,199",,566,20,"242,445","11,713","20,698,144",Africa,"1,768","51,107",85
141,Hong Kong,"11,582",+13,207,,"11,206",+13,169,7,"1,535",27,"11,193,673","1,483,778","7,544,037",Asia,651,"36,445",1
142,Curaçao,"11,180",,63,,"6,405",,"4,712",22,"67,917",383,"83,985","510,197","164,613",North America,15,"2,613",2
143,Guyana,"11,149",+105,255,+3,"9,721",+33,"1,173",15,"14,122",323,"99,349","125,839","789,492",South America,71,"3,096",8
144,Lesotho,"10,707",,315,,"4,674",,"5,718",,"4,968",146,"71,129","33,001","2,155,388",Africa,201,"6,843",30
145,South Sudan,"10,372",+13,114,,"10,090",,168,,918,10,"139,379","12,340","11,295,111",Africa,"1,089","99,080",81
146,Congo,"10,084",,137,,"8,208",,"1,739",,"1,794",24,"92,500","16,452","5,622,440",Africa,558,"41,040",61
147,Aruba,"10,050",+34,92,,"9,411",+60,547,14,"93,823",859,"135,812","1,267,885","107,117",North America,11,"1,164",1
148,Djibouti,"9,876",+154,96,+2,"7,985",+222,"1,795",,"9,885",96,"139,794","139,922","999,087",Africa,101,"10,407",7
149,Bahamas,"9,364",,189,,"8,837",,338,4,"23,638",477,"79,493","200,664","396,149",North America,42,"2,096",5
150,Suriname,"9,278",,179,,"8,654",,445,9,"15,707",303,"45,980","77,840","590,697",South America,64,"3,300",13
151,Martinique,"9,028",,57,,98,,"8,873",5,"24,072",152,"133,358","355,584","375,039",North America,42,"6,580",3
152,Papua New Guinea,"8,442",+100,68,,846,,"7,528",,930,7,"70,260","7,740","9,077,560",Australia/Oceania,"1,075","133,494",129
153,Trinidad and Tobago,"8,404",+22,146,+1,"7,740",+17,518,14,"5,990",104,"115,779","82,522","1,403,000",North America,167,"9,610",12
154,Benin,"7,515",,93,,"6,452",,970,35,608,8,"548,484","44,351","12,366,998",Africa,"1,646","132,978",23
155,Equatorial Guinea,"7,219",,106,,"6,799",,314,11,"5,019",74,"115,364","80,210","1,438,269",Africa,199,"13,569",12
156,Nicaragua,"6,727",,179,,"4,225",,"2,323",,"1,006",27,,,"6,685,439",North America,994,"37,349",
157,Iceland,"6,258",,29,,"6,126",,103,,"18,247",85,"558,666","1,628,968","342,957",Europe,55,"11,826",1
158,Gambia,"5,602",,168,,"5,145",,289,3,"2,269",68,"59,297","24,019","2,468,751",Africa,441,"14,695",42
159,CAR,"5,491",,74,,"5,056",,361,2,"1,122",15,"40,907","8,358","4,894,487",Africa,891,"66,142",120
160,Yemen,"5,357",+81,"1,049",+18,"2,053",+26,"2,255",23,177,35,"20,872",688,"30,331,236",Asia,"5,662","28,914","1,453"
